Open time,Open,High,Low,Close,Volume
1537660800000.0,0.00902,0.009409,0.008942,0.009161,178062.17
1537747200000.0,0.00915,0.009168,0.008664,0.00882,208588.39
1537833600000.0,0.00882,0.009064,0.008525,0.008937,215529.39
1537920000000.0,0.008936,0.009162,0.008751,0.008852,215043.16
1538006400000.0,0.008849,0.00989,0.008749,0.00946,334499.85
1538092800000.0,0.009463,0.00962,0.009176,0.009331,201252.53
1538179200000.0,0.009327,0.009543,0.009117,0.00933,171231.37
1538265600000.0,0.00933,0.009468,0.009144,0.00924,171879.36
1538352000000.0,0.009229,0.009343,0.00907,0.00914,193748.92
1538438400000.0,0.009149,0.00933,0.008748,0.009109,215025.08
1538524800000.0,0.009108,0.00912,0.008779,0.00884,181314.52
1538611200000.0,0.00884,0.008977,0.008803,0.008851,166276.34
1538697600000.0,0.008857,0.008989,0.008748,0.008881,170985.74
1538784000000.0,0.008879,0.00893,0.008646,0.008789,146971.78
1538870400000.0,0.008787,0.008912,0.008695,0.008812,156067.32
1538956800000.0,0.008811,0.008995,0.008719,0.008948,200882.45
1539043200000.0,0.008943,0.008962,0.008798,0.008862,157963.59
1539129600000.0,0.008867,0.008877,0.008727,0.008811,177610.9
1539216000000.0,0.008805,0.008822,0.008142,0.008208,243492.86
1539302400000.0,0.0082,0.008589,0.008148,0.00853,226689.17
1539388800000.0,0.008531,0.008684,0.00847,0.008535,173469.66
1539475200000.0,0.008535,0.00854,0.008252,0.00829,148148.33
1539561600000.0,0.00829,0.008644,0.008116,0.008316,288338.33
1539648000000.0,0.008317,0.008363,0.008141,0.008221,223788.68
1539734400000.0,0.00822,0.008234,0.008125,0.008202,176299.03
1539820800000.0,0.008203,0.00823,0.00802,0.008086,207356.95
1539907200000.0,0.008089,0.008297,0.00806,0.008219,146604.09
1539993600000.0,0.008216,0.008273,0.008169,0.008244,150556.36
1540080000000.0,0.008244,0.008267,0.008114,0.008133,140637.14
1540166400000.0,0.008136,0.008186,0.008025,0.008072,189638.01
1540252800000.0,0.008072,0.008217,0.00803,0.008131,81479.3
1540339200000.0,0.008133,0.00815,0.008035,0.008087,100453.42
1540425600000.0,0.008087,0.008116,0.00805,0.008086,57666.02
1540512000000.0,0.008088,0.008123,0.007991,0.008059,68692.82
1540598400000.0,0.008059,0.008105,0.007986,0.008034,51238.19
1540684800000.0,0.008034,0.008058,0.007992,0.008029,50737.18
